timestamp,section,row,price_per_ticket,total_for_2,quantity,can_buy_2_together,seller,site,checkout_url
2025-09-07 00:17:07,General Admission,GA,61,122,4,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13503414421&qty=2
2025-09-07 00:17:07,General Admission,GA,64,128,4,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13504869460&qty=2
2025-09-07 00:17:07,General Admission,GA,69,138,4,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13505396152&qty=2
2025-09-07 00:17:07,General Admission,GA,72,144,4,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13505747577&qty=2
2025-09-07 00:17:07,General Admission,,73,146,4,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D10242245901%26qty%3D2
2025-09-07 00:17:07,General Admission,GA,75,150,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/5024667575
2025-09-07 00:17:07,General Admission,GA,79,158,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/5027584427
2025-09-07 00:17:07,General Admission,GA,82,164,6,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13489137668&qty=2
2025-09-07 00:17:07,General Admission,GA,83,166,8,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13487493705&qty=2
2025-09-07 00:17:07,General Admission,GA,84,168,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/5029378701
2025-09-07 00:17:07,General Admission,GA,84,168,10,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13497362608&qty=2
2025-09-07 00:17:07,General Admission,GA,86,172,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1299186339
2025-09-07 00:17:07,General Admission,GA,88,176,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/5030101164
2025-09-07 00:17:07,General Admission,,90,N/A,1,No,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D-10218118819%26qty%3D2
2025-09-07 00:17:07,General Admission,GA,91,182,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1300340967
2025-09-07 00:17:07,Unknown,GA,92,184,10,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/5020827386
2025-09-07 00:17:07,General Admission,GA,92,184,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/5031013055
2025-09-07 00:17:07,General Admission,GA,94,188,2,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4947594659
2025-09-07 00:17:07,General Admission,GA,95,190,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1300951354
2025-09-07 00:17:07,General Admission,GA,99,198,2,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1152086682
2025-09-07 00:17:07,Reserved Seating,,100,200,2,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D10175804155%26qty%3D2
2025-09-07 00:17:07,General Admission,GA,100,200,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1301291191
2025-09-07 00:17:07,General Admission,GA,103,206,2,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1292106446
2025-09-07 00:17:07,General Admission,GA,105,210,5,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13294605389&qty=2
2025-09-07 00:17:07,General Admission,GA,105,210,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1301710280
2025-09-07 00:17:07,General Admission,GA,106,212,6,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4636756756
2025-09-07 00:17:07,General Admission,GA,106,212,16,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13173036008&qty=2
2025-09-07 00:17:07,General Admission,GA,108,216,6,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4771118188
2025-09-07 00:17:07,Unknown,GA,108,216,10,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1296565131
2025-09-07 00:17:07,General Admission,GA,108,216,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1301882400
2025-09-07 00:17:07,General Admission,GA,108,216,6,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1292106445
2025-09-07 00:17:07,General Admission,GA,110,220,6,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4774335628
2025-09-07 00:17:07,General Admission,GA,116,232,6,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1292106444
2025-09-07 00:17:07,General Admission,GA,119,238,6,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1273682600
2025-09-07 00:17:07,Unknown,GA,121,242,5,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4863586810
2025-09-07 00:17:07,General Admission,GA,122,244,6,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1273682522
2025-09-07 00:17:07,Ga Seats,GA,123,246,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/5004797192
2025-09-07 00:17:07,General Admission,GA,123,246,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4854673820
2025-09-07 00:17:07,General Admission,GA,124,248,6,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1273682511
2025-09-07 00:17:07,General Admission,GA,126,252,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=618790448
2025-09-07 00:17:07,Unknown,GA,130,260,2,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4755465702
2025-09-07 00:17:07,Unknown,GA,130,260,16,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4764727087
2025-09-07 00:17:07,Ga Seats,GA,136,272,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1283397041
2025-09-07 00:17:07,Unknown,GA,136,272,5,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=951371483
2025-09-07 00:17:07,Unknown,GA,137,274,5,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1189071339
2025-09-07 00:17:07,General Admission,GA,140,280,18,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13052940115&qty=2
2025-09-07 00:17:07,Unknown,GA,142,284,6,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4772372337
2025-09-07 00:17:07,Accessible,70,142,284,4,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13187884428&qty=2
2025-09-07 00:17:07,Unknown,GA,151,302,2,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1093344994
2025-09-07 00:17:07,General Admission,GA,154,308,6,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4854705847
2025-09-07 00:17:07,General Admission,GA,157,314,6,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=618790447
2025-09-07 00:17:07,Unknown,GA,160,320,18,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4840459190
2025-09-07 00:17:07,Unknown,GA,166,332,6,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1122170803
2025-09-07 00:17:07,General Admission,GA,168,336,11,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13283463236&qty=2
2025-09-07 00:17:07,Accessible 70,70,174,348,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4764725165
2025-09-07 00:17:07,Floor Ga,GA1,177,354,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4287854331
2025-09-07 00:17:07,Accessible,70,178,356,16,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13192508003&qty=2
2025-09-07 00:17:07,Unknown,GA,181,362,18,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1124847550
2025-09-07 00:17:07,General Admission,GA,182,364,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1212904243
2025-09-07 00:17:07,General Admission,GA,184,N/A,1,No,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1286037697
2025-09-07 00:17:07,General Admission,GA,184,368,2,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1285447808
2025-09-07 00:17:07,General Admission,GA,192,384,10,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4966096072
2025-09-07 00:17:07,Unknown,,192,384,4,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D9791193162%26qty%3D2
2025-09-07 00:17:07,Floor Ga,GA1,196,392,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=990600551
2025-09-07 00:17:07,General Admission,GA,198,396,11,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4854673811
2025-09-07 00:17:07,Unknown,GA,199,398,16,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1292014483
2025-09-07 00:17:07,General Admission,GA,202,404,11,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=618788397
2025-09-07 00:17:07,Unknown,GA,215,430,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4850275123
2025-09-07 00:17:07,General Admission,GA,215,430,10,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1259340968
2025-09-07 00:17:07,Accessible 70,70,217,434,16,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4764724965
2025-09-07 00:17:07,Accessible 70,70,264,N/A,4,No,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1292014490
2025-09-07 00:17:07,Right,6,269,538,2,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13466001947&qty=2
2025-09-07 00:17:07,Left,7,277,554,2,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13473905591&qty=2
2025-09-07 00:17:07,Unknown,GA,284,568,8,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4979797259
2025-09-07 00:17:07,Front Right,,293,586,2,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D10193418371%26qty%3D2
2025-09-07 00:17:07,Unknown,GA,301,602,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4850296218
2025-09-07 00:17:07,Unknown,GA,301,602,4,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4850296207
2025-09-07 00:17:07,Unknown,GA,302,604,8,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1273510377
2025-09-07 00:17:07,Front Left,,328,656,2,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D10203937008%26qty%3D2
2025-09-07 00:17:07,Accessible 70,70,330,660,16,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1292014468
2025-09-07 00:17:07,Unknown,7,338,676,2,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/5006017144
2025-09-07 00:17:07,General Admission,GA,348,696,3,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB13503631029&qty=2
2025-09-07 00:17:07,Unknown,7,390,780,2,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1284184173
2025-09-07 00:17:07,Center,7,426,852,2,Yes,vividseats,SeatPick,https://vivid-seats.pxf.io/c/3289547/952533/12730?u=https://www.vividseats.com/r/production/5644998?showDetails=VB12788795543&qty=2
2025-09-07 00:17:07,General Admission,GA,446,892,3,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1299308419
2025-09-07 00:17:07,General Admission,GA,457,914,4,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1296995018
2025-09-07 00:17:07,Front Center,,463,926,2,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D9456572321%26qty%3D2
2025-09-07 00:17:07,Unknown,7,516,1032,2,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4595289038
2025-09-07 00:17:07,Center,7,545,1090,2,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=889500699
2025-09-07 00:17:07,Unknown,7,644,1288,2,Yes,te,SeatPick,https://buy.events365.com/checkout/preview/2951272/4960462848
2025-09-07 00:17:07,Center,7,680,1360,2,Yes,tn,SeatPick,https://ticketnetwork.lusg.net/c/3289547/1592982/2322?u=https://www.ticketnetwork.com/e/checkout-ticket?ticketGroupId=1253302306
2025-09-07 00:17:07,Front Left,,1158,2316,4,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D8996147152%26qty%3D2
2025-09-07 00:17:07,Front Left,,1545,3090,4,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D8996150573%26qty%3D2
2025-09-07 00:17:07,Front Right,,1545,3090,4,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D8996157122%26qty%3D2
2025-09-07 00:17:07,Front Center,,1545,3090,4,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D8996139721%26qty%3D2
2025-09-07 00:17:07,Front Center,,1931,3862,4,Yes,vgg,SeatPick,https://viagogo.prf.hn/click/camref:1101lrBs2/pubref:gggggg/destination:https%3A//checkout.viagogo.com/secure/buy/Initialise%3FlistingId%3D8996142889%26qty%3D2
